Tipo	Pregunta	Gold standard	Respuesta bot	Score		Aluc.	Comentario juez
profesional	¿Hay psicólogo disponible los lunes? ¿Cómo saco turno?	Sí, contamos con la Dra. Manuela María Sol Alonso, psicóloga, que atiende los lunes d	Sí, hay psicólogos disponibles los lunes. Aquí tienes algunos: 1. **Luciana Martín**	3.3	❌	alto	El bot inventó dos profesionales (Luciana Martín y Natalia Aguirre) que no figuran en
profesional	¿Cuándo atiende el Dr. Avut de traumatología?	El Dr. Alejandro Avut atiende los martes de 11:00 a 11:50 horas en el Centro Médico M	El Dr. Avut Alejandro atiende en el Centro Médico MutuaLyF, Junín 2956, Santa Fe, los	5.0	✅	bajo	La respuesta del bot contiene exactamente los mismos datos que el ground truth (nombr
profesional	¿Dónde puedo atenderme con el traumatólogo Avut?	El Dr. Alejandro Avut atiende en el Centro Médico MutuaLyF, ubicado en Junín 2956, Sa	Puedes atenderte con el traumatólogo Avut Alejandro en el Centro Médico MutuaLyF, ubi	4.5	⚠️	medio	La respuesta es correcta en los datos del ground truth y agrega información sobre hor
profesional	¿El Dr. Avut atiende los lunes o tengo que ir otro día?	No, el Dr. Alejandro Avut solo atiende los martes de 11:00 a 11:50 horas. Los lunes n	El Dr. Avut Alejandro atiende los martes de 11:00 a 11:50 horas. Tendrías que ir ese	4.5	✅	bajo	La respuesta es correcta y útil, pero no confirmó explícitamente que los lunes no ati
profesional	¿Cuándo atiende el Dr. Berardi de psiquiatría?	El Dr. Cristian Berardi atiende los viernes de 13:00 a 17:50 horas en el Centro Médic	El Dr. Berardi, especialista en psiquiatría, atiende los viernes de 13:00 a 17:50 hor	4.5	⚠️	medio	La respuesta es correcta y completa en los datos principales, pero agrega la direcció
profesional	¿Dónde puedo ir a consultar con el psiquiatra Berardi?	El Dr. Cristian Berardi atiende en el Centro Médico MutuaLyF, ubicado en Junín 2956,	Puedes consultar con el psiquiatra Cristian Berardi en el Centro Médico MutuaLyF, ubi	4.3	⚠️	medio	El bot responde correctamente la ubicación pero agrega un horario específico (viernes
profesional	¿Cómo saco turno con el Dr. Berardi de psiquiatría?	Para sacar turno con el Dr. Cristian Berardi, podés comunicarte con el Centro Médico	Para sacar un turno con el Dr. Cristian Berardi, psiquiatra, puedes hacerlo de las si	4.3	⚠️	medio	La respuesta es completa y relevante, pero agrega canales de contacto (web, turnero o
profesional	¿Cuándo atiende la Dra. Bortolozzi de endocrinología?	La Dra. María Laura Bortolozzi atiende los lunes de 13:20 a 15:20 horas en el Centro	La Dra. Bortolozzi de endocrinología atiende los lunes de 13:20 a 15:20 horas en el C	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, con todos los datos c
profesional	¿Qué médico de endocrinología tienen en MutuaLyF?	Contamos con la Dra. María Laura Bortolozzi, especialista en Endocrinología. Atiende	El médico de endocrinología en MutuaLyF es la Dra. María Laura Bortolozzi. Ella atien	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, incluyendo todos los
profesional	¿Cómo saco turno con la Dra. Bortolozzi?	Para sacar turno con la Dra. María Laura Bortolozzi (Endocrinología), podés comunicar	Para sacar un turno con la Dra. Bortolozzi, puedes hacerlo de las siguientes maneras:	4.0	⚠️	medio	La respuesta es muy completa y útil, pero incluye datos no verificables contra el gro
profesional	¿Cuándo atiende la Dra. Judith Broda?	La Dra. Judith Broda, fonoaudióloga, atiende los jueves de 15:00 a 17:45 horas en el	La Dra. Judith Broda, especialista en Fonoaudiología, atiende los jueves de 15:00 a 1	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, con todos los datos c
profesional	¿Tienen fonoaudiólogo en MutuaLyF? ¿Dónde atiende?	Sí, contamos con la Dra. Judith Broda como fonoaudióloga. Atiende en el Centro Médico	Sí, tenemos un fonoaudiólogo. La profesional es Debora Neffen, y atiende en el Centro	2.8	❌	alto	El bot respondió la estructura correcta (profesional, dirección, horario) pero invent
profesional	¿Cómo saco turno con la Dra. Broda de fonoaudiología?	Para sacar turno con la Dra. Judith Broda, fonoaudióloga, debes contactar al Centro M	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no alucinó datos (lo cual es positivo), pero falló al no proveer la informació
profesional	¿Cuándo atiende el Dr. Calvo de odontología?	El Dr. Silvio Calvo atiende en el Centro Médico MutuaLyF (Junín 2956, Santa Fe) en lo	El Dr. Calvo de odontología atiende en el Centro Médico MutuaLyF, Junín 2956, Santa F	5.0	✅	bajo	La respuesta del bot es completamente correcta, incluye todos los horarios y la direc
profesional	¿El odontólogo Calvo atiende los jueves?	No, el Dr. Silvio Calvo no atiende los jueves. Sus días de atención son lunes, martes	No, el odontólogo Calvo Silvio no atiende los jueves. Sus horarios de atención son:	4.5	⚠️	medio	La respuesta es correcta y completa en cuanto a los días de atención, pero agrega hor
profesional	¿Cómo saco turno con el Dr. Calvo para odontología?	Para sacar turno con el Dr. Silvio Calvo, podés comunicarte al Centro Médico MutuaLyF	Para sacar un turno con el Dr. Silvio Calvo, especialista en odontología, puedes hace	4.3	⚠️	medio	La respuesta es muy completa y relevante, pero incluye múltiples canales de contacto
profesional	¿Qué días atiende la Dra. Cavalieri de pediatría?	La Dra. María Fiorela Cavalieri atiende los lunes de 10:00 a 11:50 horas y los vierne	La Dra. Cavalieri de pediatría atiende los siguientes días: - Lunes: de 10:00 a 11:5	4.8	✅	bajo	La respuesta es correcta y completa en horarios, aunque omite el nombre completo de l
profesional	¿Dónde puedo ir a atenderme con la pediatra Cavalieri?	La Dra. María Fiorela Cavalieri atiende en el Centro Médico MutuaLyF, ubicado en Juní	Puedes atenderte con la pediatra Cavalieri María Fiorela en el Centro Médico MutuaLyF	4.5	⚠️	medio	La respuesta es completa y correcta en los datos del ground truth, pero agrega inform
profesional	¿Atiende pediatría los sábados? Necesito un turno para mi hijo.	No, la Dra. María Fiorela Cavalieri no atiende sábados. Sus horarios son lunes de 10:	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no alucinó datos (lo cual es positivo), pero falló en recuperar información di
profesional	¿Cuándo atiende el Dr. De Olazabal de Urología?	El Dr. Mario Javier De Olazabal atiende los martes de 14:00 a 15:15 horas en el Centr	El Dr. De Olazabal, especialista en Urología, atiende los martes de 14:00 a 15:15 hor	4.8	⚠️	medio	La respuesta es casi idéntica al ground truth y muy completa, pero agrega 'especialis
profesional	¿Dónde puedo sacar turno con el urólogo De Olazabal?	El Dr. Mario Javier De Olazabal atiende en el Centro Médico MutuaLyF, ubicado en Juní	Los turnos con el urólogo De Olazabal se pueden gestionar a través de: 1. Mi MutuaLy	4.3	⚠️	medio	La respuesta es muy completa y relevante, pero agrega datos no verificables en el gro
profesional	¿Hay algún médico urólogo disponible los martes en la mutual?	Sí, contamos con el Dr. Mario Javier De Olazabal, especialista en Urología, que atien	Sí, el Dr. Mario Javier De Olazabal es el médico urólogo disponible los martes de 14:	4.5	✅	bajo	La respuesta es correcta y útil, pero omite la dirección completa del centro médico (
profesional	¿Cuándo atiende la Dra. Degano, la terapeuta ocupacional?	La Dra. María José Degano, Terapeuta Ocupacional, atiende los martes de 08:00 a 13:15	La Dra. Degano, terapeuta ocupacional, atiende los martes de 08:00 a 13:15 horas en e	4.8	✅	bajo	La respuesta es correcta y completa en todos los datos clave (día, horario y direcció
profesional	¿Dónde puedo sacar turno con la terapeuta ocupacional?	Podés sacar turno con la Terapeuta Ocupacional María José Degano en el Centro Médico	Los turnos con la terapeuta ocupacional, María Victoria Leal, se pueden gestionar a t	3.0	❌	alto	El bot nombra a una terapeuta ocupacional incorrecta (María Victoria Leal en lugar de
profesional	¿Qué días de la semana atiende la Dra. Degano?	La Dra. María José Degano atiende únicamente los martes, de 08:00 a 13:15 horas.	La Dra. María José Degano, Terapeuta Ocupacional, atiende los martes de 08:00 a 13:15	5.0	✅	bajo	La respuesta es completamente correcta y además agrega información útil sobre la espe
profesional	¿Cuándo atiende el dermatólogo Del Prete?	El Dr. Luis Héctor Del Prete atiende los miércoles de 14:00 a 15:20 horas en el Centr	El dermatólogo Del Prete Luis Héctor atiende los miércoles de 14:00 a 15:20 horas en	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, con todos los datos c
profesional	¿Dónde puedo ir a atenderme con el dermatólogo?	El Dr. Del Prete atiende en el Centro Médico MutuaLyF, ubicado en Junín 2956, Santa F	Puedes atenderte con el dermatólogo, Luis Héctor Del Prete, en el Centro Médico Mutua	4.5	⚠️	medio	La respuesta es completa y correcta en los datos del ground truth, pero agrega inform
profesional	¿Tienen dermatólogo disponible? ¿Qué días atiende?	Sí, contamos con el Dr. Luis Héctor Del Prete especialista en Dermatología. Atiende l	Sí, tenemos un dermatólogo disponible. El Dr. Luis Héctor Del Prete atiende los miérc	4.3	⚠️	medio	La respuesta es completa y relevante, pero agrega la dirección 'Junín 2956, Santa Fe'
profesional	¿Cuándo atiende el cardiólogo Echevarría?	El Dr. Maximiliano Echevarría atiende los jueves de 16:00 a 17:45 horas en el Centro	Echevarría Maximiliano, cardiólogo, atiende los jueves de 16:00 a 17:45 horas en el C	4.8	⚠️	medio	La respuesta es correcta y completa en todos los datos verificables, pero agrega la d
profesional	¿Dónde puedo ir a consultar con el Dr. Echevarría de cardiología?	El Dr. Maximiliano Echevarría atiende en el Centro Médico MutuaLyF, ubicado en Junín	Puedes consultar con el Dr. Echevarría en el Centro Médico MutuaLyF, ubicado en Junín	4.3	⚠️	medio	El bot responde correctamente la ubicación pero agrega un horario específico (jueves
profesional	¿Tienen algún especialista en cardiología en MutuaLyF?	Sí, contamos con el Dr. Maximiliano Echevarría, cardiólogo, quien atiende los jueves	Sí, en el Centro Médico de MutuaLyF hay varios especialistas en cardiología. Aquí tie	3.5	❌	alto	El bot inventó tres cardiólogos adicionales (Vignatti, Garella, Henchoz) que no figur
profesional	¿Cuándo atiende la psicóloga Marianela Fedrigo?	La Dra. Marianela Fedrigo atiende los martes de 08:00 a 14:20 horas en el Centro Médi	Marianela Fedrigo atiende los martes de 08:00 a 14:20 horas en el Centro Médico Mutua	4.8	✅	bajo	La respuesta es correcta y completa en todos los datos relevantes (horario, día, dire
profesional	¿Dónde atiendo con la psicóloga Fedrigo?	La Dra. Marianela Fedrigo atiende en el Centro Médico MutuaLyF, en la dirección Junín	La psicóloga Marianela Fedrigo atiende en el Centro Médico MutuaLyF, ubicado en Junín	4.3	⚠️	medio	El bot responde correctamente la ubicación pero agrega un horario específico (martes
profesional	¿Puedo sacar turno con la psicóloga Fedrigo los viernes?	No, la Dra. Marianela Fedrigo solo atiende los martes de 08:00 a 14:20 horas. Los vie	No, la psicóloga Fedrigo Marianela atiende solo los martes de 08:00 a 14:20 horas. Si	4.8	✅	bajo	La respuesta es correcta y relevante, aunque omite mencionar explícitamente que los v
profesional	¿Cuándo atiende el Dr. Fischer de neurología?	El Dr. Hernán Fischer atiende los viernes de 17:00 a 18:15 horas en el Centro Médico	El Dr. Fischer de neurología atiende los viernes de 17:00 a 18:15 horas en el Centro	4.8	✅	bajo	La respuesta es prácticamente idéntica al ground truth, con la única diferencia menor
profesional	¿Dónde puedo ver a un neurólogo en MutuaLyF?	Contamos con el Dr. Hernán Fischer, neurólogo, que atiende en el Centro Médico MutuaL	Puedes ver a un neurólogo en el Centro Médico de MutuaLyF, ubicado en Junín 2956, San	2.3	❌	alto	El bot respondió la pregunta correctamente en estructura pero con datos completamente
profesional	¿El Dr. Fischer atiende los sábados?	No, el Dr. Hernán Fischer atiende únicamente los viernes de 17:00 a 18:15 horas.	No, el Dr. Fischer atiende solo los viernes de 17:00 a 18:15 horas.	4.5	✅	bajo	La respuesta es correcta y completa en cuanto a días y horarios, aunque omite el nomb
profesional	¿Cuándo atiende el Dr. Federico Martín?	El Dr. Federico Martín atiende los viernes de 10:00 a 11:45 horas en el Centro Médico	El Dr. Federico Martín, especialista en Cirugía General, atiende los viernes de 10:00	4.5	⚠️	medio	La respuesta es completa y los datos del ground truth son correctos, pero agrega info
profesional	¿Tenés algún cirujano disponible? ¿Dónde atiende?	Sí, contamos con el Dr. Federico Martín especializado en Cirugía General. Atiende en	Sí, hay dos cirujanos disponibles: 1. **Federico Martín Francia** - Especialidad:	4.5	⚠️	medio	La respuesta es completa y relevante, pero incluye un segundo cirujano (Matías Guille
profesional	¿El Dr. Martín atiende los viernes? ¿A qué hora termina?	Sí, el Dr. Federico Martín atiende los viernes. Su horario es de 10:00 a 11:45 horas.	El Dr. Francia Federico Martín, especialista en Cirugía General, atiende los viernes	4.3	⚠️	medio	El horario es correcto y la respuesta es completa, pero el bot agrega 'Francia' como
profesional	¿Cuándo atiende la Dra. Gaitán Milagros?	La Dra. Gaitán Milagros atiende los lunes de 11:10 a 11:50 horas en el Centro Médico	La Dra. Gaitán Milagros Guillermina atiende los lunes de 11:10 a 11:50 horas en el Ce	4.8	⚠️	medio	La respuesta es casi idéntica al ground truth y muy completa, pero agrega el segundo
profesional	¿Qué especialidad tiene la Dra. Gaitán?	La Dra. Gaitán Milagros es especialista en Neurología y atiende sin internación en nu	La Dra. Gaitán, Milagros Guillermina, se especializa en Neurología.	4.5	✅	bajo	La respuesta es correcta e identifica bien a la médica y su especialidad, pero omite
profesional	¿Dónde atiende la neuróloga Gaitán?	La Dra. Gaitán Milagros atiende en el Centro Médico MutuaLyF, ubicado en Junín 2956,	La neuróloga Gaitán Milagros Guillermina atiende en el Centro Médico MutuaLyF, ubicad	4.8	⚠️	medio	La respuesta es completa y correcta en los datos del ground truth, pero agrega inform
profesional	¿Cuándo atiende el kinesiólogo Carlos Gandolla?	El Dr. Carlos Alberto Gandolla atiende de lunes a viernes en el Centro Médico MutuaLy	Carlos Gandolla, kinesiólogo, atiende en el Centro Médico MutuaLyF, Junín 2956, Santa	5.0	✅	bajo	La respuesta es completamente correcta y coincide con el ground truth, presentando lo
profesional	¿El Dr. Gandolla atiende el jueves por la tarde?	Sí, Carlos Alberto Gandolla atiende los jueves de 15:00 a 16:30 horas en el Centro Mé	No, el Dr. Gandolla atiende los jueves de 08:00 a 10:00 horas y de 15:00 a 16:30 hora	2.8	❌	alto	El bot contradice la respuesta correcta al afirmar que el Dr. Gandolla NO atiende por
profesional	¿Cómo saco turno con el kinesiólogo Gandolla?	Para sacar turno con Carlos Alberto Gandolla, especialista en Kinesiología, podés con	Para sacar un turno con el kinesiólogo Carlos Alberto Gandolla, puedes hacerlo de las	4.3	⚠️	medio	La respuesta es relevante y completa, pero agrega canales de contacto (web, turnero o
profesional	¿Cuándo atiende la Dra. Garello de cardiología?	La Dra. Evangelina Mariela Garello atiende los martes de 13:00 a 14:15 horas y los vi	La Dra. Garello de cardiología atiende en el Centro Médico MutuaLyF, Junín 2956, Sant	4.8	⚠️	medio	La respuesta es correcta y completa en horarios, pero agrega la dirección 'Junín 2956
profesional	¿Tienen cardiólogo los viernes? ¿A qué hora?	Sí, la Dra. Evangelina Mariela Garello, cardióloga, atiende los viernes de 08:00 a 11	Sí, hay cardiólogos disponibles los viernes. Los horarios son: 1. Evangelina Mariela	4.0	⚠️	medio	El bot responde correctamente sobre la Dra. Garello pero agrega tres cardiólogos adic
profesional	¿Cómo saco turno con la Dra. Garello de cardiología?	Para sacar turno con la Dra. Evangelina Mariela Garello, cardióloga, debés comunicart	Para sacar un turno con la Dra. Garello de cardiología, puedes hacerlo de las siguien	4.3	⚠️	medio	La respuesta es completa y relevante, pero agrega canales de contacto (web, 0800, Wha
profesional	¿Cuándo atiende la nutricionista Giordano?	La Dra. Macarena Milagros Giordano atiende los martes de 15:00 a 17:40 horas y los ju	La nutricionista Giordano Macarena Milagros atiende en el Centro Médico MutuaLyF los	5.0	✅	bajo	La respuesta es completamente correcta y coincide con el ground truth en todos los da
profesional	¿Dónde puedo sacar turno con la nutricionista?	Podés sacar turno con la Dra. Giordano en el Centro Médico MutuaLyF ubicado en Junín	Los turnos con la nutricionista Giordano Macarena Milagros se pueden gestionar a trav	4.3	⚠️	medio	La respuesta es muy completa y relevante, pero incluye datos adicionales (horarios de
profesional	¿La nutricionista atiende los lunes?	No, la Dra. Giordano no atiende los lunes. Sus días de atención son martes y jueves.	No, la nutricionista no atiende los lunes. Si necesitas más información sobre los hor	3.5	⚠️	medio	El bot responde correctamente que no atiende los lunes, pero omite los días específic
profesional	¿Cuándo atiende la Dra. Susana Gitron?	La Dra. Susana Gitron atiende los lunes, martes, jueves y viernes de 08:00 a 10:50 ho	La Dra. Susana Gitron atiende en el Centro Médico MutuaLyF, Junín 2956, Santa Fe, los	5.0	✅	bajo	La respuesta del bot es completamente correcta, incluye todos los datos del ground tr
profesional	¿La Dra. Gitron atiende los miércoles?	No, la Dra. Susana Gitron no atiende los miércoles. Sus días de atención son lunes, m	La Dra. Gitron atiende los lunes, martes, jueves y viernes, pero no los miércoles. Si	4.0	⚠️	medio	La respuesta es correcta en los días de atención pero omite el horario específico (08
profesional	¿Dónde puedo ir a consultar con la médica de clínica médica Susana Gitron?	La Dra. Susana Gitron atiende en el Centro Médico MutuaLyF, ubicado en Junín 2956, Sa	Puedes consultar con la médica de clínica médica Susana Gitron en el Centro Médico Mu	4.3	⚠️	medio	La respuesta incluye el dato de ubicación correctamente pero agrega información de ho
profesional	¿Cuándo atiende el Dr. Henchoz?	El Dr. Alejandro Henchoz atiende los lunes de 15:00 a 17:15 horas en el Centro Médico	El Dr. Henchoz, especialista en Cardiología, atiende los lunes de 15:00 a 17:15 horas	4.5	⚠️	medio	La respuesta es completa y correcta en los datos verificables, pero agrega informació
profesional	¿Qué cardiológo tienen disponible? ¿Dónde atiende?	Contamos con el Dr. Alejandro Henchoz, cardiólogo que atiende en el Centro Médico Mut	Los cardiólogos disponibles son: 1. **Alejandro Henchoz** - Centro: Centro Médico	4.0	⚠️	medio	El bot responde con formato claro e incluye al cardiólogo correcto, pero agrega un se
profesional	¿Cómo saco turno con el Dr. Henchoz para una consulta?	Para sacar turno con el Dr. Alejandro Henchoz, cardiólogo, debes comunicarte con nues	Para sacar un turno con el Dr. Henchoz, puedes hacerlo de las siguientes maneras: 1.	4.3	⚠️	medio	La respuesta es completa y relevante, pero incluye canales de contacto (web, turnero
profesional	¿Cuándo atiende el bioquímico Holman?	El bioquímico Walter Raúl Holman atiende de lunes a viernes de 07:30 a 09:20 horas en	El bioquímico Holman Walter Raúl atiende en el Centro Médico MutuaLyF, Junín 2956, Sa	5.0	✅	bajo	La respuesta es completamente correcta y consistente con el ground truth; desglosa el
profesional	¿El bioquímico Holman atiende los sábados?	No, el bioquímico Walter Raúl Holman solo atiende de lunes a viernes de 07:30 a 09:20	No, Holman Walter Raúl, el bioquímico, atiende de lunes a viernes de 07:30 a 09:20 ho	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, confirmando correctam
profesional	¿Dónde puedo ir a ver al bioquímico Holman?	El bioquímico Walter Raúl Holman atiende en el Centro Médico MutuaLyF, ubicado en Jun	Puedes ver al bioquímico Holman Walter Raúl en el Centro Médico MutuaLyF, ubicado en	4.5	⚠️	medio	La respuesta es correcta y completa en cuanto a la ubicación, pero agrega un horario
profesional	¿Cuándo atiende la psicóloga Fernanda Isequilla?	La Dra. Fernanda Isequilla atiende los martes de 14:00 a 18:00 horas en el Centro Méd	Fernanda Isequilla atiende los martes de 14:00 a 18:00 horas en el Centro Médico Mutu	4.8	✅	bajo	La respuesta es prácticamente idéntica al ground truth, con la única diferencia menor
profesional	¿Cómo saco turno con la psicóloga Isequilla?	Para sacar turno con la Dra. Fernanda Isequilla, debes comunicarte con el Centro Médi	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no alucinó ni inventó datos, pero falló en recuperar información disponible so
profesional	¿Hay algún psicólogo disponible en MutuaLyF?	Sí, contamos con la Dra. Fernanda Isequilla, especialista en Psicología. Atiende los	Sí, hay un psicólogo disponible en MutuaLyF. - **Nombre:** Luciana Martín - **Horar	2.3	❌	alto	El bot inventó datos críticos: nombre incorrecto (Luciana Martín en lugar de Dra. Fer
profesional	¿Cuándo atiende el Dr. Isse Antonio?	El Dr. Isse Antonio atiende los lunes de 14:00 a 15:45 horas en el Centro Médico Mutu	El Dr. Isse Antonio atiende los lunes de 14:00 a 15:45 horas en el Centro Médico Mutu	5.0	✅	bajo	La respuesta del bot es idéntica al ground truth, proporcionando día, horario y ubica
profesional	¿Qué especialidades tiene el Dr. Isse Antonio?	El Dr. Isse Antonio se especializa en Flebología y Cirugía Cardiovascular, y atiende	El Dr. Isse Antonio se especializa en Flebología y Cirugía Cardiovascular.	4.5	✅	bajo	La respuesta es correcta en los datos centrales pero omite el dato de que atiende sin
profesional	¿Dónde puedo sacar turno con el Dr. Isse Antonio y en qué días atiende?	El Dr. Isse Antonio atiende los lunes de 14:00 a 15:45 en el Centro Médico MutuaLyF,	Puedes sacar turno con el Dr. Isse Antonio en el Centro Médico MutuaLyF, ubicado en J	4.5	⚠️	medio	La respuesta es completa y correcta en los datos del médico, pero agrega canales de c
profesional	¿Cuándo atiende el Dr. Jaime David Exequiel?	El Dr. Jaime David Exequiel atiende los jueves de 15:00 a 16:30 horas en el Centro Mé	El Dr. Jaime David Exequiel atiende los jueves de 15:00 a 16:30 horas en el Centro Mé	4.5	⚠️	medio	La respuesta agrega la dirección del Centro Médico (Junín 2956, Santa Fe) que no figu
profesional	¿Qué médico de ergometría tienen en MutuaLyF?	Contamos con el Dr. Jaime David Exequiel, especialista en Ergometría, que atiende en	El médico de ergometría en MutuaLyF es Jaime David Exequiel. Atiende en el Centro Méd	4.0	⚠️	medio	El bot responde correctamente el médico y la dirección, pero agrega un horario especí
profesional	¿Dónde puedo ir para hacer una ergometría y en qué dirección?	La ergometría se realiza en el Centro Médico MutuaLyF, ubicado en Junín 2956, Santa F	Puedes hacer una ergometría en el Centro Médico MutuaLyF, ubicado en Junín 2956, Sant	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, proporcionando el lug
profesional	¿Cuándo atiende la Dra. Leal María Victoria?	La Terapeuta Ocupacional Leal María Victoria atiende los lunes y jueves de 14:15 a 17	La Dra. Leal María Victoria, Terapeuta Ocupacional, atiende en el Centro Médico Mutua	4.5	✅	bajo	La respuesta es correcta y completa en los datos clave (días y horarios), pero omite
profesional	¿Dónde puedo sacar turno con la terapeuta ocupacional?	Podés sacar turno con la Terapeuta Ocupacional Leal María Victoria en el Centro Médic	Los turnos con la terapeuta ocupacional, María Victoria Leal, se pueden gestionar a t	4.3	⚠️	medio	La respuesta es muy útil y completa al agregar canales de contacto, pero omite el hor
profesional	¿La Dra. Leal atiende los sábados?	No, la Terapeuta Ocupacional Leal María Victoria atiende solo de lunes a jueves. Sus	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no alucinó ni inventó datos, pero falló en recuperar información disponible so
profesional	¿Cuándo atiende la Dra. Ledesma de clínica médica?	La Dra. María Laura Ledesma atiende los miércoles de 09:15 a 11:15 horas en el Centro	La Dra. Ledesma atiende los miércoles de 09:15 a 11:15 horas en el Centro Médico Mutu	4.3	⚠️	medio	La respuesta es relevante y completa, pero agrega la dirección 'Junín 2956, Santa Fe'
profesional	¿Dónde puedo ir a atenderme con la Dra. Ledesma?	La Dra. María Laura Ledesma atiende en el Centro Médico MutuaLyF, ubicado en Junín 29	Puedes atenderte con la Dra. Ledesma en el Centro Médico MutuaLyF, ubicado en Junín 2	4.3	⚠️	medio	El bot responde correctamente la ubicación pero agrega un horario específico (miércol
profesional	¿La Dra. Ledesma atiende los jueves o solo algunos días?	La Dra. María Laura Ledesma atiende únicamente los miércoles de 09:15 a 11:15 horas.	La Dra. Ledesma solo atiende los miércoles de 09:15 a 11:15 horas. No tiene horarios	5.0	✅	bajo	La respuesta contesta exactamente lo preguntado, confirma que no atiende los jueves y
profesional	¿Cuándo atiende la Dra. Marín Liliana?	La Dra. Marín Liliana atiende los miércoles y viernes de 13:40 a 15:40 horas en el Ce	La Dra. Marín Liliana atiende en el Centro Médico MutuaLyF, Junín 2956, Santa Fe, los	4.8	⚠️	medio	La respuesta es correcta y completa en todos los datos del ground truth, pero agrega
profesional	¿Qué especialidad tiene la Dra. Marín y dónde atiende?	La Dra. Marín Liliana Mariel es médica de Clínica Médica y atiende en el Centro Médic	La Dra. Marín Liliana Mariel se especializa en Clínica Médica y atiende en el Centro	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, con todos los datos c
profesional	¿La Dra. Marín atiende los jueves?	No, la Dra. Marín Liliana atiende solamente los miércoles y viernes de 13:40 a 15:40	No, la Dra. Marín atiende los miércoles y viernes de 13:40 a 15:40 horas.	4.8	✅	bajo	La respuesta es correcta y útil, aunque omite el segundo apellido 'Liliana' presente
profesional	¿Cuándo atiende la Dra. Martín Luciana?	La Dra. Martín Luciana, psicóloga, atiende los lunes de 12:00 a 16:20 horas y los mié	La Dra. Martín Luciana, especialista en Psicología, atiende en el Centro Médico Mutua	4.8	⚠️	medio	La respuesta es precisa y completa en horarios y especialidad, pero agrega la direcci
profesional	¿La psicóloga Martín atiende los sábados?	No, la Dra. Martín Luciana atiende solo los lunes y miércoles. Los lunes de 12:00 a 1	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no alucina ni inventa datos, pero falló en recuperar información disponible so
profesional	¿Dónde atiende la psicóloga Martín Luciana?	La Dra. Martín Luciana atiende en el Centro Médico MutuaLyF, ubicado en Junín 2956, S	La psicóloga Martín Luciana atiende en el Centro Médico MutuaLyF, ubicado en Junín 29	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, proporcionando la dir
profesional	¿Cuándo atiende el Dr. Mendoza de clínica médica?	El Dr. Fabián José Alberto Mendoza atiende en el Centro Médico MutuaLyF los lunes, ma	El Dr. Mendoza atiende en el Centro Médico MutuaLyF, Junín 2956, Santa Fe, los siguie	4.3	⚠️	medio	La respuesta es correcta en días y horarios pero agrega la dirección del centro médic
profesional	¿El Dr. Mendoza atiende los jueves?	No, el Dr. Fabián José Alberto Mendoza no atiende los jueves. Sus días de atención so	No, el Dr. Mendoza solo atiende los lunes, martes y miércoles, y también los viernes,	5.0	✅	bajo	La respuesta confirma correctamente que el Dr. Mendoza no atiende los jueves, enumera
profesional	¿Dónde puedo sacar turno con el Dr. Mendoza?	Podés sacar turno con el Dr. Fabián José Alberto Mendoza en el Centro Médico MutuaLyF	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no inventó datos (faithfulness alto), pero falló en recuperar información disp
profesional	¿Cuándo atiende la psicóloga María Soledad Morello?	La Dra. María Soledad Morello atiende los martes de 09:00 a 12:20 horas y los miércol	María Soledad Morello atiende en el Centro Médico MutuaLyF, Junín 2956, Santa Fe, en	4.8	⚠️	medio	La respuesta es completa y correcta en horarios, pero agrega la dirección 'Junín 2956
profesional	¿Dónde puedo sacar turno con la psicóloga Morello?	La Dra. María Soledad Morello atiende en el Centro Médico MutuaLyF, ubicado en Junín	Los turnos con la psicóloga María Soledad Morello se pueden gestionar a través de: 1	4.2	⚠️	medio	La respuesta es completa y relevante, pero incluye canales de contacto (web, turnero
profesional	¿Tienen psicólogo en MutuaLyF? ¿Qué días atiende?	Sí, contamos con la Dra. María Soledad Morello, psicóloga que atiende en el Centro Mé	Sí, en MutuaLyF hay psicólogos. Aquí tienes algunos de ellos y sus horarios de atenci	4.0	⚠️	medio	El bot responde correctamente sobre María Soledad Morello (coincide con el ground tru
